SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,09/05/2022,14:00,PST-8,Heat,,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,09/05/2022,14:00,PST-8,Heat,,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,09/06/2022,14:00,PST-8,Heat,,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,09/06/2022,14:00,PST-8,Heat,,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,09/08/2022,14:00,PST-8,Heat,,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,09/18/2022,11:30,PST-8,Strong Wind,30 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,09/18/2022,13:00,PST-8,Strong Wind,26 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,09/18/2022,14:00,PST-8,Strong Wind,30 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,10/22/2022,11:40,PST-8,Strong Wind,30 kts. EG,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,12/02/2022,2:00,PST-8,Cold/wind Chill,,1,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,12/02/2022,5:00,PST-8,Cold/wind Chill,,0,0,0.00K,0.00K
SANTA CLARA VALLEY INCLU...,SANTA CLARA VALLEY INCLU...,CA,12/13/2022,0:00,PST-8,Cold/wind Chill,,4,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,12/27/2022,2:32,PST-8,High Wind,56 kts. MG,0,0,0.00K,0.00K
WAYNE,SANTA CLARA CO.,CA,12/31/2022,0:00,PST-8,Flood,,1,0,0.00K,0.00K
EASTERN SANTA CLARA HILL...,EASTERN SANTA CLARA HILL...,CA,01/04/2023,21:36,PST-8,Strong Wind,35 kts. EG,0,0,0.00K,0.00K
